"Email","Email"
"Incl. Tax","Incl. Tax"
"No shipping method required.","No shipping method required."
"PayPal Email","PayPal Email адреса"
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
"Qty","Кількість"
"Place an Order","Оформити замовлення"
"PayPal Account","Обліковий запис PayPal"
"Update Shipping Method","Оновити метод доставки"
"Shipping Address","Адреса доставки"
"Submitting order information...","Надсилається інформаця про замовлення..."
"Product Name","Назва товару"
"Edit Shopping Cart","Редагувати кошик"
"Payment Method","Спосіб оплати"
"Items in Your Shopping Cart","Товари у Вашому кошику"
"Price","Ціна"
"Shipping Method","Метод доставки"
"Review Order","Залишити відгук про замовлення"
"Change Payment Method","Змінити спосіб оплати"
"Change Shipping Address","Змінити адресу доставки"
"Please select a shipping method...","Будь-ласка, виберіть метод доставки..."
"Subtotal","Всього"
"You will be redirected to PayPal website when you place an order.","Вас буде перенаправлено до paypal після оформлення замовлення."
"Your billing address will be ignored and you will be redirected to PayPal website","Ваша адреса оплати не буде братись до уваги і Вас перенаправлять на вебсайт PayPal UK "
"Shipping Information","Інформація про доставку"
"Billing Information","Інформація про оплату"
