"Actions","Actions"
"Disallow voting in a poll multiple times from same IP-address","Disallow voting in a poll multiple times from same IP-address"
"ID","ID"
"Number of Responses","Кількість відповідей"
"Votes Count","Кількість голосів"
"Votes Count:","Кількість голосів:"
"Assigned Answers","Призначені відповіді"
"Community Poll","Опитування"
"Poll with the same question","Опитування з ідентичним питанням"
"Poll not exists","Опитування не існує"
"New Poll","Нове опитування"
"Invalid Answer","Невірна відповідь"
"Unable to find answer to delete.","Неможливо знайти відповідь для видалення."
"Edit Answer '%s'","Редагувати відповідь '%s'"
"Edit Poll Answer","Редагувати відповіді опитування"
"Edit Poll '%s'","Редагувати опитування '%s'"
"Status","Статус"
"Poll Manager","Управління опитуваннями"
"Closed","Завершене"
"Answer Title","Заголовок відповіді"
"Answer Title:","Заголовок відповіді:"
"Poll Question","Запитання"
"Save Answer","Зберегти відповідь"
"Save Poll","Зберегти опитування"
"Open","Відкрите"
"Answer was successfully saved","Відповідь була успішно збережена "
"Answer with the same title in this poll","Відповідь з однаковим заголовком в цьому опитуванні"
"Poll Answers","Відповіді на опитування"
"Are you sure you want to delete it?","Ви впевнені, що бажаєте її видалити?"
"Delete","Видалити"
"Delete Answer","Видалити відповідь"
"Delete Poll","Видалити опитування"
"Visible In","Видимий в"
"Vote","Голосувати"
"Date Closed","Дата завершення"
"Date Posted","Дата опублікування"
"Add Answer","Додати відповідь"
"Add New Answer","Додати нову відповідь"
"Add New Poll","Додати нове опитування"
"Poll Information","Інформація про опитування"
"Poll information","Інформація про опитування"
