"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Link</a>"
"minute","хв."
"minutes","хв."
"Please declare ""adapter"" and ""method"" node first","Please declare ""adapter"" and ""method"" node first"
"ETA: %s","Приблизний час виконання: %s"
"Skip undefined row","Пропуск невизначеного рядка"
"Starting %s :: %s","Початок %s :: %s"
"Error field mapping! Fields list for mapping is not defined","Помилка відповідності полів! Не заданий список відповідності полів"
"Error occured during file opening: ""%s""","Помилка при відкритті файлу: ""%s"""
"Processed records: %s","Обробені записи: %s"
"Could not load file: ""%s""","Неможливо завантажити файл: ""%s"""
"Could not save file: %s","Неможливо зберегти файл: %s"
"Declared adapter %s not found","Неможливо знайти вказаинй адаптер %s "
"Dry run set, stopping execution","Тестовий прогін, зупинка виконання"
"Saved successfully: ""%s"" [%d byte(s)]","Успішно зберешено: ""%s"" [%d байт]"
"File ""%s"" don't exist","Файл ""%s"" не знайдено"
"hour","год."
"hours","год."
"Method ""%s"" not defined in adapter %s","Метод ""%s"" не заданий в адаптері %s"
"Less than a minute","Менше хвилини"
"Loaded successfully: ""%s""","Завантажено успішно: ""%s"""
"Found %d rows","Знайдено %d рядків"
"Total records: %s","Всього записів: %s"
"Destination folder ""%s"" is not a writeable","Відсутній доступ для запису у вказаній папці ""%s"" "
"Access denied to destination folder ""%s""","Відсутній доступ до вказаної папки ""%s"""
"Memory Used: %s","Використано пам'яті: %s"
"Done","Виконано"
"Destination folder ""%s"" is not a directory","Вказана папка ""%s"" не є директорією"
"Destination folder ""%s"" does not exist or not access to create","Вказаної папки ""%s"" не існує, або відсутній доступ для запису"
"Sheet 1","Лист 1"
