"Actions","Actions"
"ID","ID"
"Edit Rule '%s'","редагувати правило '%s'"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog."
"Catalog","Каталог"
"Customer is new buyer: %s","Клієнт - новий покупець: %s"
"Customer registered: %s","Клієнт зареєстрований: %s"
"Conditions Combination","Комбінація умов"
"Priority","Пріоритет"
"Catalog Price Rules","Правила ціни для каталога "
"Catalog Price Rule","Правило ціни для каталога"
"Rule was successfully deleted","Правило було успішно видалено"
"Rules were successfully applied","Правило було успішно застосовано"
"Rule was successfully saved","Правило було успішно збережено"
"Shipments","Поставки"
"Order Shipments","Поставки по замовленням"
"Start at: %s","Початок в: %s"
"Credit Memos","Повернення платежів"
"Order Credit Memos","Повернення платежів по замовленням"
"Update product's %s %s: %s","Оновити  %s %s: %s товару"
"Description","Опис"
"Description: %s","Опис: %s"
"Product Attribute","Атрибут товару"
"Active","Активний"
"Promotions","Акції"
"No","Ні"
"Attribute Set","Набір атрибутів"
"Rule Name","Назва правила"
"Name: %s","Назва: %s"
"New Rule","Нове правило"
"Inactive","Неактивний"
"Unable to apply rules","Невдалось застосувати правила"
"Unable to find a page to delete","Невдалось знайти сторінки для видалення"
"NOT LOGGED IN","НЕ АВТОРИЗОВАНИЙ"
"Order Invoices","Рахунки по замовленням"
"Invoices","Рахунок"
"Edit Rule","Редагувати правило"
"Status","Статус"
"The page you are trying to save no longer exists","Сторінка, яку Ви намагаєтесь зберегти більше не існує"
"Yes","Так"
"Conditions","Умови"
"Conditions (leave blank for all products)","Умови (залишіть поле незаповненим, для застосування до всіх товарів)"
"Category","категорія"
"Stop further rules processing","Зупинити обробку інших правил"
"Apply Rules","Застосувати правила"
"General Information","Загальна інформація"
"Rule Information","Загальна інформація"
"Expire at: %s","Закінчення: %s"
"Save and Apply","Зберегти та Застосувати"
"Save Rule","Зберегти правило"
"Gift Messages","Вітальні повідомлення"
"Order Gift Messages","Вітальні повідомлення по замовленням"
"Options","Варіанти"
"Delete Rule","Видалити правило"
"Websites","Вебсайти"
"Customer Groups","Групи клієнтів"
"Date From","Дата від"
"Date To","Дата до"
"Date Expire","Дата закінчення"
"To Date","Дата закінчення"
"Date Start","Дата початку"
"From Date","Дата початку"
"This rule no longer exists","Дане правило більше не існує"
"Add New Rule","Додати нове правило"
"Order History","Історія замовень"
"Comments History","Історія нотаток"
