"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping"
"* Required Fields","* позначені обов&#39;язкові поля"
"Email Template","Email шаблон"
"Email addresses, separated by commas","Email адреси,задані через кому"
"Email Sender","Email відправника"
"RSS link to %s's wishlist","RSS лінк на список бажань %s"
"Sharing Information","Sharing Information"
"Wishlist Section","Wishlist Section"
"Product","Продукт"
"Message","Повідомлення"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Позначте галочку, якщо бажаєте додати лінк до стрічки новин rss до вашого списку бажань."
"Email address can't be empty.","Поле Email адреси не може бути пустим."
"View Product","Переглянути продукт"
"Go to Wishlist","Перейти до списку бажань"
"Last Added Items","Останні додані товари"
"Update Wishlist","Оновити список бажань"
"Share options","Опції надсилання"
"This product(s) is currently out of stock:","На даний момент цей товар відсутній на складі:"
"Wishlist Sharing","Надсилання списку бажань"
"Share Wishlist","Надіслати список бажань"
"Share Your Wishlist","Надішліть Ваш список бажань"
"Back","Назад"
"Comment","Нотатки"
"Cannot create wishlist","Неможливо створити список бажань"
"Cannot specify product","Неможливо визначити товар"
"Can't save description %s","Неможливо зберегти опис %s"
"RSS Feed","Стрічка новин RSS"
"There was an error while deleting item from wishlist.","Сталась помилка при видаленні товару зі списку бажань."
"There was an error while deleting item from wishlist: %s","Сталась помилка при видаленні товару зі списку бажань: %s"
"There was an error while adding item to wishlist.","Сталась помилка при додаванні товару до списку бажань."
"There was an error while adding item to wishlist: %s","Сталась помилка при додаванні товару до списку бажань: %s"
"Wishlist","Список бажань"
"%s's Wishlist","Список бажань %s"
"Wishlist is empty now.","Список бажань порожній."
"Enabled","Увімкнено"
"My Wishlist","Мій список бажань"
"My Wishlist (%d item)","Мій список бажань (%d шт.)"
"My Wishlist (%d items)","Мій список бажань(%d шт.)"
"General Options","Загальні налаштування"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Будь-ласка, введіть дійсні email адреси через кому. Наприклад Ivandoe@domain.com, Ivansmith@domain.com."
"Please, enter your comments...","Будь-ласка, введіть Вашу нотатку..."
"Your Wishlist was successfully shared","Ваш список бажань був успішно надісланий"
"You have no items in your wishlist.","Ваш список бажань пустий."
"You input not valid email address.","Ви ввели невірну email адресу."
"Are you sure you want to remove this product from your wishlist?","Ви впевнені, що бажаєти видалити цей товар з Вашого списку бажань?"
"Are you sure you would like to remove this item from the wishlist?","Ви впевнені, що бажаєти видалити цей товар з Вашого списку бажань?"
"Are You sure?","Ви впевнені?"
"Remove Item","Видалити товар"
"Add to Wishlist","Додати в списку бажань"
"Add to Cart","Додати в корзину"
"Add All to Cart","Додати всі товари в корзину"
"Added On","Додано"
